InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
166666,SKU0234,Product 234,4,2024-11-07 14:19:35,27.35,10001,France,109.4
166667,SKU0032,Product 032,5,2024-03-30 17:21:43,15.83,10001,United Kingdom,79.15
166667,SKU0233,Product 233,7,2024-06-03 06:18:17,25.53,10001,United Kingdom,178.71
166667,SKU0266,Product 266,9,2025-05-29 17:13:46,30.41,10001,Ireland,273.69
166668,SKU0376,Product 376,1,2024-05-12 01:44:36,68.33,10001,Belgium,68.33
166668,SKU0339,Product 339,5,2024-04-06 08:06:56,27.38,10001,Australia,136.9
166668,SKU0317,Product 317,4,2024-02-12 10:29:04,28.28,10001,United Kingdom,113.12
166669,SKU0259,Product 259,8,2024-01-20 12:13:16,10.63,10001,Ireland,85.04
166669,SKU0289,Product 289,3,2024-11-13 13:38:50,25.68,10001,Belgium,77.03999999999999
166669,SKU0125,Product 125,5,2024-12-23 04:43:29,42.8,10001,Germany,214.0
166670,SKU0158,Product 158,4,2025-04-01 12:55:29,7.98,10001,United Kingdom,31.92
166670,SKU0267,Product 267,3,2025-02-22 16:35:22,28.03,10001,France,84.09
166670,SKU0065,Product 065,2,2025-01-27 08:47:56,29.0,10001,Germany,58.0
166671,SKU0103,Product 103,4,2024-07-01 08:32:46,33.48,10001,United Kingdom,133.92
166671,SKU0148,Product 148,3,2025-06-04 07:47:09,23.54,10001,France,70.62
166672,SKU0028,Product 028,1,2024-02-28 15:54:23,25.24,10001,Spain,25.24
166672,SKU0361,Product 361,2,2025-09-12 08:21:26,14.37,10001,United Kingdom,28.74
166672,SKU0105,Product 105,4,2024-09-22 04:21:36,18.83,10001,Germany,75.32
166673,SKU0091,Product 091,1,2024-09-10 01:09:35,37.28,10001,United Kingdom,37.28
166673,SKU0014,Product 014,4,2024-04-08 12:07:35,18.61,10001,United Kingdom,74.44
166673,SKU0367,Product 367,5,2025-01-07 10:34:45,30.48,10001,United Kingdom,152.4
166674,SKU0072,Product 072,2,2024-10-19 21:30:50,6.98,10001,United Kingdom,13.96
166674,SKU0133,Product 133,2,2025-12-13 12:45:26,43.49,10001,Spain,86.98
166674,SKU0186,Product 186,6,2024-05-10 10:57:16,8.06,10001,Netherlands,48.36
166675,SKU0367,Product 367,5,2024-11-01 01:40:28,16.9,10001,United Kingdom,84.5
166675,SKU0343,Product 343,6,2025-10-20 18:24:53,29.18,10001,Germany,175.07999999999998
166675,SKU0141,Product 141,3,2025-08-13 08:55:00,116.23,10001,Spain,348.69
166676,SKU0213,Product 213,5,2025-07-12 04:41:01,7.94,10001,Ireland,39.7
166676,SKU0218,Product 218,7,2025-01-19 23:40:18,49.99,10001,Ireland,349.93
166676,SKU0050,Product 050,5,2025-09-30 00:46:15,18.23,10002,France,91.15
166677,SKU0189,Product 189,5,2024-06-12 11:00:44,31.99,10002,United Kingdom,159.95
166677,SKU0200,Product 200,2,2025-08-14 07:51:57,24.64,10002,Ireland,49.28
166677,SKU0058,Product 058,7,2025-02-28 09:36:31,24.49,10002,United Kingdom,171.42999999999998
166678,SKU0139,Product 139,4,2024-09-12 13:30:04,51.98,10002,Germany,207.92
166678,SKU0231,Product 231,3,2024-06-08 14:04:15,46.65,10002,United Kingdom,139.95
166678,SKU0342,Product 342,5,2025-01-16 14:51:18,29.78,10002,Australia,148.9
166679,SKU0210,Product 210,5,2024-01-03 08:46:20,15.27,10002,United Kingdom,76.35
166679,SKU0286,Product 286,5,2025-06-06 02:00:38,46.24,10002,United Kingdom,231.20000000000002
166679,SKU0148,Product 148,6,2024-06-21 02:55:15,16.81,10002,Belgium,100.85999999999999
166680,SKU0124,Product 124,3,2024-10-11 20:26:53,12.56,10002,United Kingdom,37.68
166680,SKU0341,Product 341,6,2024-05-21 19:10:12,16.44,10002,United Kingdom,98.64000000000001
166680,SKU0213,Product 213,4,2024-12-06 22:19:10,40.04,10002,Netherlands,160.16
166681,SKU0089,Product 089,3,2024-09-28 19:06:51,9.31,10002,United Kingdom,27.93
166681,SKU0223,Product 223,5,2024-05-17 08:43:01,36.66,10002,United Kingdom,183.29999999999998
166681,SKU0161,Product 161,3,2025-10-11 17:31:50,19.68,10002,France,59.04
166682,SKU0219,Product 219,7,2025-07-09 12:22:24,21.35,10002,United Kingdom,149.45000000000002
166682,SKU0023,Product 023,4,2024-10-10 06:32:21,8.57,10002,United Kingdom,34.28
166682,SKU0053,Product 053,3,2024-02-12 10:28:09,119.88,10002,United Kingdom,359.64
166683,SKU0318,Product 318,4,2025-09-09 13:31:54,51.48,10002,France,205.92
166683,SKU0287,Product 287,5,2025-05-24 13:02:11,45.72,10002,Belgium,228.6
166684,SKU0134,Product 134,3,2025-03-17 04:39:33,20.29,10002,Netherlands,60.87
166684,SKU0292,Product 292,6,2024-01-06 16:18:20,27.85,10002,Belgium,167.10000000000002
166684,SKU0370,Product 370,2,2024-12-12 09:17:33,28.86,10002,United Kingdom,57.72
166685,SKU0148,Product 148,5,2024-05-17 17:13:51,15.38,10002,United Kingdom,76.9
166685,SKU0120,Product 120,5,2025-04-21 02:56:13,29.75,10002,United Kingdom,148.75
166685,SKU0182,Product 182,4,2025-11-11 09:27:09,41.86,10002,France,167.44
166686,SKU0058,Product 058,3,2025-01-23 22:06:13,55.29,10002,Germany,165.87
166686,SKU0284,Product 284,3,2025-03-17 18:38:54,13.73,10002,United Kingdom,41.19
166686,SKU0225,Product 225,3,2025-05-02 13:33:25,40.87,10003,United Kingdom,122.60999999999999
166687,SKU0141,Product 141,3,2025-11-10 14:58:41,23.1,10003,United Kingdom,69.30000000000001
166687,SKU0330,Product 330,3,2024-01-28 01:53:32,36.9,10003,United Kingdom,110.69999999999999
166687,SKU0039,Product 039,2,2024-08-14 17:42:04,123.21,10003,Germany,246.42
166688,SKU0098,Product 098,8,2024-07-15 02:17:39,13.57,10003,United Kingdom,108.56
166688,SKU0302,Product 302,3,2025-06-07 17:04:35,60.16,10003,Germany,180.48
166688,SKU0332,Product 332,5,2024-11-23 06:08:29,19.29,10003,Ireland,96.44999999999999
166689,SKU0091,Product 091,3,2025-07-18 18:32:06,17.93,10003,Germany,53.79
166689,SKU0364,Product 364,4,2024-12-11 15:36:04,21.95,10003,Australia,87.8
166689,SKU0213,Product 213,7,2025-12-14 13:40:32,24.55,10003,Netherlands,171.85
166690,SKU0124,Product 124,5,2025-07-14 04:26:56,8.4,10003,Netherlands,42.0
