CohortMonth,CohortIndex,ActiveCustomers,CohortSize,RetentionRate
2024-01-01,0,3556,3556,1.0
2024-01-01,1,2447,3556,0.6881327334083239
2024-01-01,2,2524,3556,0.7097862767154106
2024-01-01,3,2468,3556,0.6940382452193475
2024-01-01,4,2559,3556,0.71962879640045
2024-01-01,5,2499,3556,0.702755905511811
2024-01-01,6,2526,3556,0.7103487064116986
2024-01-01,7,2551,3556,0.7173790776152981
2024-01-01,8,2490,3556,0.7002249718785152
2024-01-01,9,2530,3556,0.7114735658042745
2024-01-01,10,2515,3556,0.7072553430821147
2024-01-01,11,2533,3556,0.7123172103487064
2024-01-01,12,2550,3556,0.7170978627671541
2024-01-01,13,2351,3556,0.6611361079865017
2024-01-01,14,2535,3556,0.7128796400449944
2024-01-01,15,2529,3556,0.7111923509561305
2024-01-01,16,2540,3556,0.7142857142857143
2024-01-01,17,2521,3556,0.7089426321709786
2024-01-01,18,2556,3556,0.718785151856018
2024-01-01,19,2551,3556,0.7173790776152981
2024-01-01,20,2460,3556,0.6917885264341957
2024-01-01,21,2523,3556,0.7095050618672666
2024-01-01,22,2467,3556,0.6937570303712036
2024-01-01,23,2570,3556,0.7227221597300337
2024-02-01,0,1010,1010,1.0
2024-02-01,1,727,1010,0.7198019801980198
2024-02-01,2,709,1010,0.7019801980198019
2024-02-01,3,728,1010,0.7207920792079208
2024-02-01,4,722,1010,0.7148514851485148
2024-02-01,5,752,1010,0.7445544554455445
2024-02-01,6,722,1010,0.7148514851485148
2024-02-01,7,715,1010,0.7079207920792079
2024-02-01,8,753,1010,0.7455445544554455
2024-02-01,9,728,1010,0.7207920792079208
2024-02-01,10,752,1010,0.7445544554455445
2024-02-01,11,765,1010,0.7574257425742574
2024-02-01,12,684,1010,0.6772277227722773
2024-02-01,13,743,1010,0.7356435643564356
2024-02-01,14,738,1010,0.7306930693069307
2024-02-01,15,742,1010,0.7346534653465346
2024-02-01,16,718,1010,0.7108910891089109
2024-02-01,17,734,1010,0.7267326732673267
2024-02-01,18,744,1010,0.7366336633663366
2024-02-01,19,717,1010,0.7099009900990099
2024-02-01,20,735,1010,0.7277227722772277
2024-02-01,21,724,1010,0.7168316831683168
2024-02-01,22,763,1010,0.7554455445544555
2024-03-01,0,334,334,1.0
2024-03-01,1,255,334,0.7634730538922155
2024-03-01,2,252,334,0.7544910179640718
2024-03-01,3,248,334,0.7425149700598802
2024-03-01,4,246,334,0.7365269461077845
2024-03-01,5,255,334,0.7634730538922155
2024-03-01,6,242,334,0.7245508982035929
2024-03-01,7,235,334,0.7035928143712575
2024-03-01,8,269,334,0.8053892215568862
2024-03-01,9,251,334,0.7514970059880239
2024-03-01,10,254,334,0.7604790419161677
2024-03-01,11,237,334,0.7095808383233533
2024-03-01,12,243,334,0.7275449101796407
2024-03-01,13,240,334,0.718562874251497
2024-03-01,14,249,334,0.7455089820359282
2024-03-01,15,240,334,0.718562874251497
2024-03-01,16,251,334,0.7514970059880239
2024-03-01,17,253,334,0.7574850299401198
2024-03-01,18,245,334,0.7335329341317365
2024-03-01,19,249,334,0.7455089820359282
2024-03-01,20,252,334,0.7544910179640718
2024-03-01,21,250,334,0.7485029940119761
2024-04-01,0,73,73,1.0
2024-04-01,1,51,73,0.6986301369863014
2024-04-01,2,56,73,0.7671232876712328
2024-04-01,3,58,73,0.7945205479452054
2024-04-01,4,55,73,0.7534246575342466
2024-04-01,5,53,73,0.726027397260274
2024-04-01,6,52,73,0.7123287671232876
2024-04-01,7,56,73,0.7671232876712328
2024-04-01,8,53,73,0.726027397260274
2024-04-01,9,56,73,0.7671232876712328
2024-04-01,10,55,73,0.7534246575342466
2024-04-01,11,60,73,0.821917808219178
2024-04-01,12,58,73,0.7945205479452054
2024-04-01,13,55,73,0.7534246575342466
2024-04-01,14,52,73,0.7123287671232876
2024-04-01,15,57,73,0.7808219178082192
2024-04-01,16,60,73,0.821917808219178
2024-04-01,17,56,73,0.7671232876712328
2024-04-01,18,51,73,0.6986301369863014
2024-04-01,19,49,73,0.6712328767123288
2024-04-01,20,63,73,0.863013698630137
2024-05-01,0,22,22,1.0
2024-05-01,1,14,22,0.6363636363636364
2024-05-01,2,17,22,0.7727272727272727
2024-05-01,3,15,22,0.6818181818181818
2024-05-01,4,18,22,0.8181818181818182
2024-05-01,5,15,22,0.6818181818181818
2024-05-01,6,22,22,1.0
2024-05-01,7,17,22,0.7727272727272727
2024-05-01,8,17,22,0.7727272727272727
2024-05-01,9,18,22,0.8181818181818182
2024-05-01,10,14,22,0.6363636363636364
2024-05-01,11,13,22,0.5909090909090909
2024-05-01,12,19,22,0.8636363636363636
2024-05-01,13,17,22,0.7727272727272727
2024-05-01,14,20,22,0.9090909090909091
2024-05-01,15,17,22,0.7727272727272727
2024-05-01,16,16,22,0.7272727272727273
2024-05-01,17,17,22,0.7727272727272727
2024-05-01,18,19,22,0.8636363636363636
2024-05-01,19,17,22,0.7727272727272727
2024-06-01,0,4,4,1.0
2024-06-01,1,3,4,0.75
2024-06-01,2,3,4,0.75
2024-06-01,3,4,4,1.0
2024-06-01,4,4,4,1.0
2024-06-01,5,3,4,0.75
2024-06-01,6,1,4,0.25
2024-06-01,7,3,4,0.75
2024-06-01,8,4,4,1.0
2024-06-01,9,3,4,0.75
2024-06-01,10,4,4,1.0
2024-06-01,11,2,4,0.5
2024-06-01,12,3,4,0.75
2024-06-01,13,3,4,0.75
2024-06-01,14,2,4,0.5
2024-06-01,15,4,4,1.0
2024-06-01,16,2,4,0.5
2024-06-01,17,2,4,0.5
2024-06-01,18,3,4,0.75
2024-09-01,0,1,1,1.0
2024-09-01,1,1,1,1.0
2024-09-01,2,1,1,1.0
2024-09-01,3,1,1,1.0
2024-09-01,5,1,1,1.0
2024-09-01,7,1,1,1.0
2024-09-01,8,1,1,1.0
2024-09-01,10,1,1,1.0
2024-09-01,12,1,1,1.0
2024-09-01,13,1,1,1.0
2024-09-01,14,1,1,1.0
2024-09-01,15,1,1,1.0
