Month,Revenue,Orders,Customers
2024-01-01,656911.16,5887,3556
2024-02-01,640443.26,5550,3457
2024-03-01,680971.69,5954,3585
2024-04-01,652917.15,5719,3505
2024-05-01,686878.46,5976,3612
2024-06-01,657255.91,5818,3543
2024-07-01,689154.07,6044,3602
2024-08-01,683739.4,5989,3601
2024-09-01,664402.87,5763,3523
2024-10-01,662475.68,5940,3590
2024-11-01,654917.49,5802,3594
2024-12-01,687675.17,5970,3608
2025-01-01,688212.6,6039,3645
2025-02-01,600492.85,5315,3350
2025-03-01,672711.42,6003,3598
2025-04-01,674467.0,5880,3583
2025-05-01,704951.64,6079,3608
2025-06-01,658750.84,5859,3551
2025-07-01,698041.72,5975,3622
2025-08-01,670170.83,5995,3627
2025-09-01,650324.41,5724,3499
2025-10-01,681947.53,5932,3578
2025-11-01,649357.73,5787,3514
2025-12-01,701638.23,6092,3667
